location_id,sensor_id,location_name,datetime_utc,datetime_local,parameter,parameter_display,units,value,coordinates_latitude,coordinates_longitude,country_code,country_name,is_mobile,is_monitor,date,hour_utc,day_of_week,month,has_coordinates
301,14258987,"Vikas Sadan, Gurugram - HSPCB",2026-03-13 04:00:00+00:00,2026-03-13 09:30:00+05:30,unknown,unknown,unknown,202.5,28.4501238,77.0263051,unknown,unknown,,,2026-03-13,4,Friday,2026-03,True
301,14258988,"Vikas Sadan, Gurugram - HSPCB",2026-03-13 04:00:00+00:00,2026-03-13 09:30:00+05:30,unknown,unknown,unknown,148.5,28.4501238,77.0263051,unknown,unknown,,,2026-03-13,4,Friday,2026-03,True
301,14258990,"Vikas Sadan, Gurugram - HSPCB",2026-03-13 04:00:00+00:00,2026-03-13 09:30:00+05:30,unknown,unknown,unknown,5.97,28.4501238,77.0263051,unknown,unknown,,,2026-03-13,4,Friday,2026-03,True
301,14341789,"Vikas Sadan, Gurugram - HSPCB",2026-03-13 04:00:00+00:00,2026-03-13 09:30:00+05:30,unknown,unknown,unknown,0.07257,28.4501238,77.0263051,unknown,unknown,,,2026-03-13,4,Friday,2026-03,True
301,14341790,"Vikas Sadan, Gurugram - HSPCB",2026-03-13 04:00:00+00:00,2026-03-13 09:30:00+05:30,unknown,unknown,unknown,278.13,28.4501238,77.0263051,unknown,unknown,,,2026-03-13,4,Friday,2026-03,True
301,14341791,"Vikas Sadan, Gurugram - HSPCB",2026-03-13 04:00:00+00:00,2026-03-13 09:30:00+05:30,unknown,unknown,unknown,1.79,28.4501238,77.0263051,unknown,unknown,,,2026-03-13,4,Friday,2026-03,True
346,593,"MD University, Rohtak - HSPCB",2018-02-22 03:45:00+00:00,2018-02-22 09:15:00+05:30,unknown,unknown,unknown,17.0,28.876028,76.619464,unknown,unknown,,,2018-02-22,3,Thursday,2018-02,True
346,612,"MD University, Rohtak - HSPCB",2018-02-22 03:45:00+00:00,2018-02-22 09:15:00+05:30,unknown,unknown,unknown,30.87,28.876028,76.619464,unknown,unknown,,,2018-02-22,3,Thursday,2018-02,True
346,613,"MD University, Rohtak - HSPCB",2018-02-22 03:45:00+00:00,2018-02-22 09:15:00+05:30,unknown,unknown,unknown,13.55,28.876028,76.619464,unknown,unknown,,,2018-02-22,3,Thursday,2018-02,True
346,13545,"MD University, Rohtak - HSPCB",2017-10-13 09:15:00+00:00,2017-10-13 14:45:00+05:30,unknown,unknown,unknown,72.92,28.876028,76.619464,unknown,unknown,,,2017-10-13,9,Friday,2017-10,True
346,14306,"MD University, Rohtak - HSPCB",2018-02-22 03:45:00+00:00,2018-02-22 09:15:00+05:30,unknown,unknown,unknown,132.25,28.876028,76.619464,unknown,unknown,,,2018-02-22,3,Thursday,2018-02,True
354,605,"Lalbagh, DN Park",2018-02-22 04:00:00+00:00,2018-02-22 09:30:00+05:30,unknown,unknown,unknown,22.72,26.84578611,80.93874444,unknown,unknown,,,2018-02-22,4,Thursday,2018-02,True
354,606,"Lalbagh, DN Park",2018-02-22 04:00:00+00:00,2018-02-22 09:30:00+05:30,unknown,unknown,unknown,109.32,26.84578611,80.93874444,unknown,unknown,,,2018-02-22,4,Thursday,2018-02,True
354,14362,"Lalbagh, DN Park",2018-02-22 04:00:00+00:00,2018-02-22 09:30:00+05:30,unknown,unknown,unknown,224.64,26.84578611,80.93874444,unknown,unknown,,,2018-02-22,4,Thursday,2018-02,True
354,14363,"Lalbagh, DN Park",2018-02-22 04:00:00+00:00,2018-02-22 09:30:00+05:30,unknown,unknown,unknown,30.9,26.84578611,80.93874444,unknown,unknown,,,2018-02-22,4,Thursday,2018-02,True
378,5352,Alandur Bus Depot,2018-02-22 03:45:00+00:00,2018-02-22 09:15:00+05:30,unknown,unknown,unknown,6.82,12.99711389,80.19151667,unknown,unknown,,,2018-02-22,3,Thursday,2018-02,True
378,5374,Alandur Bus Depot,2018-02-22 03:45:00+00:00,2018-02-22 09:15:00+05:30,unknown,unknown,unknown,12.39,12.99711389,80.19151667,unknown,unknown,,,2018-02-22,3,Thursday,2018-02,True
378,14304,Alandur Bus Depot,2018-02-22 03:45:00+00:00,2018-02-22 09:15:00+05:30,unknown,unknown,unknown,111.73,12.99711389,80.19151667,unknown,unknown,,,2018-02-22,3,Thursday,2018-02,True
378,14305,Alandur Bus Depot,2018-02-22 03:45:00+00:00,2018-02-22 09:15:00+05:30,unknown,unknown,unknown,29.3,12.99711389,80.19151667,unknown,unknown,,,2018-02-22,3,Thursday,2018-02,True
